Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
52,Taranhoes,Amakei,Amakei Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,754,1466.57,512.6,40.09,24.8,82,59°F,Rome,,,,walls,plaza,,,{t1:gules;charges:[{charge:hourglass;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Taranhoes&population=754&size=8&seed=8563657060052&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
53,Ponhara,Shuanhua,Shuanhua Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,205,1501.9,458.26,42.73,26.53,161,57°F,Batumi,,,,walls,plaza,,,{t1:vert;charges:[{charge:horseRampant;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ponhara&population=205&size=6&seed=8563657060053&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
54,Linhao,Leyano,Leyano Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,208,1534.5,326,49.16,28.13,82,54°F,Paris,,port,,,,,,{t1:sable;ordinaries:[{ordinary:cross;t:argent;line:seaWaves}];charges:[{charge:crossAvellane;t:vert;p:behdf;size:0.3}];shield:heater},https://watabou.github.io/village-generator/?pop=208&name=&seed=8563657060054&width=800&height=364&tags=estuary%2Chighway%2Cno+square
55,Polielius,Ryholara,Ryholara Province,Esla,Eslan Empire,Esla'rei,Deities of the Realm,790,1536.6,638.7,33.96,28.23,30,63°F,Lisbon,,,,,plaza,,,{t1:gules;charges:[{charge:sickle;t:argent;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=790&name=&seed=8563657060055&width=1000&height=455&tags=estuary%2Chighway%2Cdense
56,Tengri,South Forest,South Forest Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,2741,515,756.5,28.23,-21.79,13,68°F,Alexandria,,port,citadel,walls,plaza,temple,,{t1:gules;ordinaries:[{ordinary:label;t:argent}];charges:[{charge:crossPatriarchal;t:argent;p:pqn;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Tengri&population=2741&size=13&seed=8563657060056&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.66
57,Loinenkaan,Tunu,Tunu Province,Waszi,Kingdom of Waszi,Althonesh,Deities of Craft,2336,756.9,215.35,54.53,-9.94,13,50°F,London,,,citadel,walls,plaza,temple,shanty town,{t1:argent;ordinaries:[{ordinary:pileInBend;t:gules}];charges:[{charge:lionSejant;t:argent;p:eo;t2:argent;t3:gules;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Loinenkaan&population=2336&size=12&seed=8563657060057&river=1&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
58,Lanki,Tunu,Tunu Province,Waszi,Kingdom of Waszi,Althonesh,Deities of Craft,187,760.5,238,53.43,-9.77,52,52°F,Antwerp,,,,,,,,{t1:argent;division:{division:perBend;t:sable;line:straight};ordinaries:[{ordinary:pale;t:azure;line:straight}];charges:[{charge:goutte;t:argent;p:e;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=187&name=&seed=8563657060058&width=600&height=273&tags=estuary%2Cdead+end%2Cuncultivated%2Cno+square
59,Shekfukok,Lifeng,Lifeng Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,459,1632.5,310.3,49.92,32.92,82,54°F,Paris,,,citadel,,plaza,,,{t1:sable;ordinaries:[{ordinary:cross;t:argent;line:seaWaves}];charges:[{charge:pegasus;t:gules;p:beh;t2:gules;t3:or;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Shekfukok&population=459&size=7&seed=8563657060059&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
60,Janiyah,The North,The North Province,Ulbagra'a,Ulbagra'an Empire,Everoli,Deities of Sands,1395,317.5,466.5,42.33,-31.46,30,57°F,Batumi,,port,,walls,plaza,temple,,{t1:argent;division:{division:perCross;t:gules;line:wavy};charges:[{charge:sword;t:azure;p:j;t2:azure;size:0.6};{charge:scale;t:or;p:l;size:0.6};{charge:crossHummetty;t:argent;p:m;size:0.6};{charge:fusil;t:sable;p:o;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Janiyah&population=1395&size=10&seed=8563657060060&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.65
61,Noniaqutori,Tazi,Tazi Province,Esla,Eslan Empire,Esla'rei,Deities of the Realm,2076,1515.6,636.4,34.07,27.2,13,63°F,Lisbon,,,citadel,walls,plaza,,,{t1:sable;charges:[{charge:scaleImbalanced;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Noniaqutori&population=2076&size=11&seed=8563657060061&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
62,Asctorum,Coimbra,Coimbra Province,Sueiana,Great Union of Sueiana,Esla'rei,Deity of High Truth,156,1594.9,709.9,30.5,31.08,118,66°F,Marrakesh,,,,,,,,{t1:purpure;charges:[{charge:crossMaltese;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=156&name=&seed=8563657060062&width=600&height=273&tags=estuary%2Cdead+end%2Cfarmland%2Cno+square
63,Jalse'ana,Nylmas,Nylmas Province,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,1329,537,540,38.76,-20.71,30,61°F,Dubrovnik,,port,citadel,walls,plaza,temple,shanty town,{t1:argent;ordinaries:[{ordinary:flaunches;t:gules}];charges:[{charge:fleurDeLis;t:purpure;p:beh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Jalse%27ana&population=1329&size=10&seed=8563657060063&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.25
64,Musrah,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,1970,377.5,421,44.54,-28.52,13,57°F,Batumi,,port,citadel,walls,plaza,temple,shanty town,{t1:argent;charges:[{charge:pear;t:purpure;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Musrah&population=1970&size=11&seed=8563657060064&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.77
65,Alheiveivei,Shuanhua,Shuanhua Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,1087,1506.5,433.5,43.93,26.76,52,57°F,Batumi,,,,,plaza,,,{t1:azure;ordinaries:[{ordinary:fess;t:argent;line:embattledNotched}];charges:[{charge:unicornRampant;t:argent;p:abcz;t2:argent;t3:argent;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1087&name=&seed=8563657060065&width=1400&height=636&tags=estuary%2Chighway%2Cdense
66,Svitinsk,Old Moncosia,Old Moncosia,Moncosia,Kingdom of Moncosia,Saas'maean,Deities of the Realm,1262,1151.47,710.67,30.46,9.37,13,66°F,Marrakesh,,,,walls,plaza,,,{t1:maily-argent-gules;division:{division:perBend;t:sable;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Svitinsk&population=1262&size=9&seed=8563657060066&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
67,Abragoinho,Coimbra,Coimbra Province,Sueiana,Great Union of Sueiana,Therini,Deity of High Truth,3014,1609.5,787.5,26.73,31.8,30,68°F,Alexandria,,port,citadel,walls,plaza,temple,shanty town,{t1:ermine-azure-argent;ordinaries:[{ordinary:cross;t:or;line:straight}];charges:[{charge:plaice;t:sable;p:beh;t2:or;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Abragoinho&population=3014&size=13&seed=8563657060067&river=1&coast=1&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.12
68,Hangtong,Lifeng,Lifeng Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,174,1647,326,49.16,33.63,118,54°F,Paris,,port,,,plaza,,,{t1:argent;charges:[{charge:lionHeadErased;t:gules;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=174&name=&seed=8563657060068&width=600&height=273&tags=estuary%2Chighway
69,Yasisa,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,177,391.5,379.5,46.56,-27.83,13,55°F,Milan,,port,citadel,,,,,{t1:or;charges:[{charge:dolphin;t:purpure;p:abcpqh;t2:purpure;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Yasisa&population=177&size=6&seed=8563657060069&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.63
70,Puilun,Henveya,Henyung Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,2570,1607,386,46.24,31.68,840,52°F,Antwerp,,port,citadel,walls,plaza,temple,,{t1:barry-sable-or;division:{division:perFess;t:argent;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Puilun&population=2570&size=12&seed=8563657060070&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.51
71,Premorenno,Sidania,Sidania Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of Wisdom,532,1315.2,447.5,43.25,17.39,13,57°F,Batumi,,,,walls,plaza,,,{t1:maily-argent-gules-smaller;ordinaries:[{ordinary:saltireParted;t:azure;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Premorenno&population=532&size=7&seed=8563657060071&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
72,Cothaz,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Kili'ini,Deities of Trade,2224,1302,677,32.1,16.74,13,64°F,Barcelona,,port,citadel,walls,plaza,temple,shanty town,{t1:or;charges:[{charge:caravel;t:purpure;p:e;t2:purpure;t3:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Cothaz&population=2224&size=12&seed=8563657060072&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.69
73,Arimysenor,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,722,586.5,404,45.37,-18.29,161,55°F,Milan,,port,citadel,walls,plaza,,,{t1:argent;charges:[{charge:axe;t:azure;p:e;t2:azure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Arimysenor&population=722&size=8&seed=8563657060073&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.94
74,Thudaydah,The East,The East Province,Ulbagra'a,Ulbagra'an Empire,Everoli,Deities of Sands,189,344,450.5,43.11,-30.16,82,57°F,Batumi,,,,,plaza,,,{t1:ermine-argent-purpure;ordinaries:[{ordinary:bendletSinister;t:gules;line:straight}];shield:heater},https://watabou.github.io/village-generator/?pop=189&name=&seed=8563657060074&width=600&height=273&tags=estuary%2Cdead+end
75,Tsiuchuen,Nauma,Nauma Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,142,1631.5,491.6,41.11,32.88,13,59°F,Rome,,,,,,,,{t1:argent;ordinaries:[{ordinary:gore;t:purpure}];charges:[{charge:sickle;t:gules;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=142&name=&seed=8563657060075&width=600&height=273&tags=estuary%2Chighway%2Cno+square
76,Eshthalulil,Gelulallesa,Gelulallesa Province,Varcii,Varciian Commonwealth,Nevterish,Deities of Nature,1338,655.5,609,35.4,-14.91,13,63°F,Lisbon,,port,,walls,plaza,temple,,{t1:or;division:{division:gyronny;t:azure};charges:[{charge:inescutcheon;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Eshthalulil&population=1338&size=10&seed=8563657060076&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.22
77,Araykut,Ydiyol,Ydiyol Province,Varcii,Varciian Commonwealth,Maysiolian,Deities of Nature,146,644.05,669.65,32.46,-15.47,52,64°F,Barcelona,,,,,plaza,,,{t1:azure;division:{division:perFess;t:argent;line:straight};charges:[{charge:fleurDeLis;t:or;p:k;size:0.7};{charge:wolfHeadErased;t:gules;p:n;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=146&name=&seed=8563657060077&width=600&height=273&tags=estuary%2Chighway%2Cfarmland
78,Sundeset,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,162,1262,241.5,53.26,14.79,13,52°F,Antwerp,,port,,,plaza,,,{t1:vert;charges:[{charge:armEmbowedVambraced;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=162&name=&seed=8563657060078&width=600&height=273&tags=estuary%2Chighway
79,Drangluf,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,180,1330,293,50.76,18.11,13,54°F,Paris,,port,,,,,,{t1:gules;charges:[{charge:dragonPassant;t:argent;p:jln;t2:argent;t3:argent;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=180&name=&seed=8563657060079&width=600&height=273&tags=estuary%2Cdead+end%2Cno+square
80,Yongshat,Lifeng,Lifeng Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,1270,1629,297.5,50.54,32.75,82,54°F,Paris,,port,,walls,plaza,temple,shanty town,{t1:or;division:{division:gyronny;t:gules};charges:[{charge:caravel;t:vert;p:e;t2:azure;t3:vert;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Yongshat&population=1270&size=10&seed=8563657060080&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.03
81,Luziagaran,Taining,Taining Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,162,1515.5,312.5,49.81,27.2,30,54°F,Paris,,port,,,,,,{t1:azure;ordinaries:[{ordinary:chief;t:argent;line:straight}];charges:[{charge:oak;t:or;p:emoz;t2:argent;t3:or;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=162&name=&seed=8563657060081&width=600&height=273&tags=coast%2Chighway%2Cfarmland%2Cno+square
82,Cartavezano,Leyano,Leyano Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,774,1521.5,378.5,46.6,27.49,52,55°F,Milan,,port,,walls,plaza,,,{t1:lozengy-or-purpure;division:{division:perFess;t:azure;line:straight};ordinaries:[{ordinary:pale;t:gules;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Cartavezano&population=774&size=8&seed=8563657060082&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.73
83,Umalor,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Craft,1122,614,395,45.8,-16.94,118,55°F,Milan,,,citadel,walls,plaza,,,{t1:palyBendy-or-azure;ordinaries:[{ordinary:bendlet;t:purpure;line:straight}];charges:[{charge:lymphad;t:argent;p:joe;t2:argent;t3:sable;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Umalor&population=1122&size=9&seed=8563657060083&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
84,Bjerland,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,165,1356,403,45.41,19.39,82,55°F,Milan,,port,,,,,,{t1:argent;charges:[{charge:quatrefoil;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=165&name=&seed=8563657060084&width=600&height=273&tags=estuary%2Chighway%2Cno+square
85,Rusrah,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,128,339,441.6,43.54,-30.4,30,57°F,Batumi,,,,,,,,{t1:sable;division:{division:perChevronReversed;t:argent;line:dentilly};charges:[{charge:windmill;t:or;p:mok;t2:or;t3:or;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=128&name=&seed=8563657060085&width=600&height=273&tags=highway%2Cno+square
86,Pambalhare,Shuanhua,Shuanhua Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,1548,1474.5,452.5,43.01,25.19,161,57°F,Batumi,,port,citadel,,plaza,temple,,{t1:argent;ordinaries:[{ordinary:pale;t:purpure;line:straight}];charges:[{charge:shipWheel;t:or;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Pambalhare&population=1548&size=10&seed=8563657060086&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=1.27
87,Ching,Nauma,Nauma Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of the Realm,370,1540.1,532.52,39.12,28.4,30,61°F,Dubrovnik,,,,walls,plaza,,,{t1:gules;charges:[{charge:heron;t:or;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ching&population=370&size=6&seed=8563657060087&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
88,Keifongsan,Ti'yare,Ti'yare Province,Esla,Eslan Empire,Henyish,Deities of the Realm,1266,1507.5,567,37.44,26.8,328,59°F,Rome,,port,citadel,walls,plaza,,,{t1:or;charges:[{charge:castle;t:azure;p:abc;t2:azure;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Keifongsan&population=1266&size=9&seed=8563657060088&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.02
89,Oramelfarire,Gelulallesa,Gelulallesa Province,Varcii,Varciian Commonwealth,Nevterish,Deities of Nature,188,687.5,642,33.8,-13.34,82,63°F,Lisbon,,port,,walls,plaza,,,{t1:purpure;charges:[{charge:inescutcheon;t:argent;p:e;size:1.5};{charge:wolfRampant;t:purpure;p:e;size:0.75}];shield:heater},https://watabou.github.io/city-generator/?name=Oramelfarire&population=188&size=6&seed=8563657060089&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.02
90,Lactorum,Ryholara,Ryholara Province,Esla,Eslan Empire,Esla'rei,Deities of the Realm,2187,1528,645.5,33.63,27.81,13,64°F,Barcelona,,,,walls,plaza,temple,,{t1:argent;charges:[{charge:anchor;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lactorum&population=2187&size=12&seed=8563657060090&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
91,Alalokevre,Ydiyol,Ydiyol Province,Varcii,Varciian Commonwealth,Maysiolian,Deities of Nature,127,655.81,660.71,32.89,-14.89,13,64°F,Barcelona,,,,,plaza,,,{t1:gules;division:{division:perFess;t:or;line:straight};charges:[{charge:eagle;t:argent;p:e;t2:argent;t3:argent;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=127&name=&seed=8563657060091&width=600&height=273&tags=highway
92,Diacocorsa,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of Trade,379,1234.5,695,31.22,13.44,13,64°F,Barcelona,,port,citadel,,plaza,,,{t1:or;ordinaries:[{ordinary:quarter;t:azure}];charges:[{charge:anchor;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Diacocorsa&population=379&size=6&seed=8563657060092&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.54
93,Caxialmiras,Guixenada,Guixenada Province,Sueiana,Great Union of Sueiana,Therini,Deity of High Truth,509,1648.16,691.66,31.39,33.69,397,63°F,Lisbon,,,,,plaza,,,{t1:gules;charges:[{charge:lionSejant;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=509&name=&seed=8563657060093&width=1000&height=455&tags=estuary%2Chighway%2Cdense
94,Cargagoin,Guixenada,Guixenada Province,Sueiana,Great Union of Sueiana,Therini,Deity of High Truth,322,1664.53,692.29,31.35,34.49,82,64°F,Barcelona,,,,walls,plaza,,,{t1:azure;division:{division:perCross;t:or;line:nebuly};charges:[{charge:mascle;t:argent;p:jl;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Cargagoin&population=322&size=6&seed=8563657060094&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
95,Aylaka,South Forest,South Forest Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,154,505.77,704.15,30.78,-22.24,82,66°F,Marrakesh,,,,,,,,{t1:argent;division:{division:perCross;t:vert;line:engrailed};charges:[{charge:wasp;t:azure;p:jo;t2:azure;t3:azure;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=154&name=&seed=8563657060095&width=600&height=273&tags=estuary%2Chighway%2Cno+square
